2024-01-28 00:01:873 INFO  HomePage :60 - Clicking onto Responsible Gambling : [[ChromeDriver: chrome on windows (0f582437c3d7c2e75eca767db3e6d3bd)] -> xpath: //a[normalize-space()='Responsible Gambling']]
2024-01-28 00:01:899 INFO  ResponsibleGamblingPage :22 - Verifying the Gamble Responsibly at Virgin Games text :[[ChromeDriver: chrome on windows (0f582437c3d7c2e75eca767db3e6d3bd)] -> xpath: //h1[normalize-space()='Gamble Responsibly at Virgin Games']]
2024-01-28 00:01:927 INFO  ResponsibleGamblingPage :22 - Verifying the Gamble Responsibly at Virgin Games text :[[ChromeDriver: chrome on windows (0f582437c3d7c2e75eca767db3e6d3bd)] -> xpath: //h1[normalize-space()='Gamble Responsibly at Virgin Games']]
2024-01-28 00:01:760 INFO  HomePage :30 - Verifying Homepage Url
2024-01-28 01:01:909 INFO  HomePage :48 - Scrolling down to Responsible Gambling :[[ChromeDriver: chrome on windows (67637e83b973c8b659887f87b371b023)] -> xpath: //a[normalize-space()='Responsible Gambling']]
2024-01-28 01:01:939 INFO  HomePage :53 - Getting text from responsible Gambling :[[ChromeDriver: chrome on windows (67637e83b973c8b659887f87b371b023)] -> xpath: //a[normalize-space()='Responsible Gambling']]
2024-01-28 01:01:382 INFO  HomePage :60 - Clicking onto Responsible Gambling : [[ChromeDriver: chrome on windows (67637e83b973c8b659887f87b371b023)] -> xpath: //a[normalize-space()='Responsible Gambling']]
2024-01-28 01:01:408 INFO  ResponsibleGamblingPage :22 - Verifying the Gamble Responsibly at Virgin Games text :[[ChromeDriver: chrome on windows (67637e83b973c8b659887f87b371b023)] -> xpath: //h1[normalize-space()='Gamble Responsibly at Virgin Games']]
2024-01-28 01:01:440 INFO  ResponsibleGamblingPage :22 - Verifying the Gamble Responsibly at Virgin Games text :[[ChromeDriver: chrome on windows (67637e83b973c8b659887f87b371b023)] -> xpath: //h1[normalize-space()='Gamble Responsibly at Virgin Games']]
2024-01-28 01:01:278 INFO  HomePage :30 - Verifying Homepage Url
2024-01-28 01:01:438 INFO  HomePage :48 - Scrolling down to Responsible Gambling :[[ChromeDriver: chrome on windows (95ed70348d92a9e376d376c2398cfe9c)] -> xpath: //a[normalize-space()='Responsible Gambling']]
2024-01-28 01:01:470 INFO  HomePage :53 - Getting text from responsible Gambling :[[ChromeDriver: chrome on windows (95ed70348d92a9e376d376c2398cfe9c)] -> xpath: //a[normalize-space()='Responsible Gambling']]
2024-01-28 01:01:900 INFO  HomePage :60 - Clicking onto Responsible Gambling : [[ChromeDriver: chrome on windows (95ed70348d92a9e376d376c2398cfe9c)] -> xpath: //a[normalize-space()='Responsible Gambling']]
2024-01-28 01:01:930 INFO  ResponsibleGamblingPage :22 - Verifying the Gamble Responsibly at Virgin Games text :[[ChromeDriver: chrome on windows (95ed70348d92a9e376d376c2398cfe9c)] -> xpath: //h1[normalize-space()='Gamble Responsibly at Virgin Games']]
2024-01-28 01:01:964 INFO  ResponsibleGamblingPage :22 - Verifying the Gamble Responsibly at Virgin Games text :[[ChromeDriver: chrome on windows (95ed70348d92a9e376d376c2398cfe9c)] -> xpath: //h1[normalize-space()='Gamble Responsibly at Virgin Games']]
